"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2025","1,807.22","1,845.48","1,849.12","1,804.60","743.80M","-2.07%"
"09/05/2025","1,845.48","1,883.59","1,901.66","1,838.57","650.75M","-2.02%"
"09/04/2025","1,883.59","1,859.59","1,883.96","1,850.15","540.57M","1.29%"
"09/03/2025","1,859.59","1,865.38","1,876.63","1,846.08","529.94M","-0.31%"
"08/29/2025","1,865.38","1,861.20","1,890.36","1,855.28","635.73M","0.22%"
"08/28/2025","1,861.20","1,848.55","1,866.18","1,831.79","526.44M","0.68%"
"08/27/2025","1,848.55","1,849.05","1,877.27","1,841.13","633.61M","-0.03%"
"08/26/2025","1,849.05","1,783.12","1,850.00","1,769.54","568.35M","3.70%"
"08/25/2025","1,783.12","1,814.02","1,835.85","1,774.84","697.78M","-1.70%"
"08/22/2025","1,814.02","1,874.91","1,882.23","1,794.97","967.40M","-3.25%"
"08/21/2025","1,874.91","1,828.46","1,881.90","1,828.46","751.15M","2.54%"
"08/20/2025","1,828.46","1,810.46","1,833.84","1,768.90","906.98M","0.99%"
"08/19/2025","1,810.46","1,786.37","1,824.81","1,786.37","661.47M","1.35%"
"08/18/2025","1,786.37","1,783.25","1,797.37","1,774.47","565.20M","0.17%"
"08/15/2025","1,783.25","1,793.78","1,827.89","1,763.88","789.10M","-0.59%"
"08/14/2025","1,793.78","1,753.71","1,793.84","1,753.71","773.22M","2.28%"
"08/13/2025","1,753.71","1,755.25","1,768.78","1,726.89","684.71M","-0.09%"
"08/12/2025","1,755.25","1,741.90","1,756.72","1,737.42","543.59M","0.77%"
"08/11/2025","1,741.90","1,729.08","1,748.67","1,726.91","610.89M","0.74%"
"08/08/2025","1,729.08","1,734.85","1,745.88","1,707.90","655.36M","-0.33%"
"08/07/2025","1,734.85","1,723.31","1,742.12","1,715.54","644.63M","0.67%"
"08/06/2025","1,723.31","1,690.43","1,726.58","1,690.43","542.14M","1.95%"
"08/05/2025","1,690.43","1,653.22","1,730.14","1,653.22","1.15B","2.25%"
"08/04/2025","1,653.22","1,614.11","1,653.22","1,607.13","451.25M","2.42%"
"08/01/2025","1,614.11","1,615.23","1,621.64","1,584.98","506.72M","-0.07%"
"07/31/2025","1,615.23","1,630.78","1,646.75","1,602.17","643.19M","-0.95%"
"07/30/2025","1,630.78","1,621.29","1,642.67","1,606.54","616.03M","0.59%"
"07/29/2025","1,621.29","1,695.63","1,702.30","1,616.64","856.06M","-4.38%"
